gloss,text
MY PERSONAL VIEW    ELIGIBILITY   APPLY  ALL MEMBER STATE .,my personal view is that this eligibility must be applied to all member states .
ALSO INCLUDE THOSE AREA AFFECT  DISASTER SUCH AS FLOODING  EARTHQUAKE .,this also includes those areas affected by disasters such as flooding or earthquakes .
I REFORE WELCOME FACT  EU  LOOK  WAY  HELP SE PEOPLE .,i therefore welcome the fact that the eu is looking for ways to help these people .
I FIRMLY BELIEVE   FINANCIAL IMBALANCE   CORRECT .,i firmly believe that this financial imbalance must be corrected .
DRAMATICALLY EXPAND RANGE POSSIBLE INTERVENTION  INCREASE EFFECTIVENESS MEASURE .,this would dramatically expand the range of possible interventions and increase the effectiveness of the measures .
LOCAL GOVERNMENT  NON GOVERNMENTAL ORGANIZATION  JOIN EFFORT  HELP IN AREA TACKLE SOCIAL EXCLUSION .,local governments and non governmental organisations should join the efforts to help in the area of tackling social exclusion .
"MR PRESIDENT , I KNOW   REPORT  SPECIFICALLY IN RELATION  ROMA FAMILY   SPECIFIC GROUP .","mr president , I know that this report is specifically in relation to roma families and other specific groups ."
I WANT  STRESS  ALL PEOPLE DESERVE  NEED SOCIAL HOUSING   FIT  PURPOSE .,i want to stress that all people deserve and need social housing that is fit for purpose .
SE PEOPLE NEED  KNOW   PARLIAMENT RECOGNIZE Y NEED .,these people need to know that this parliament recognises their need .
"Y  JUST AS MARGINALISE , WHER IT  THROUGH POVERTY , DRUG  CRIME .","they are just as marginalised , whether it is through poverty , drugs or crime ."
SE  ISSUE  WE NEED  ADDRESS AS WELL .,these are issues that we need to address as well .
I  ENCOURAGE  HOUSE  LOOK   AS PART PROBLEM HOUSING IN MARGINALISE COMMUNITY .,i would encourage this house to look at this as part of the problem of housing in marginalised communities .
SECOND STEP  ONE  TAKE TODAY .,the second step is the one being taken today .
VULNERABILITY SE COMMUNITY HAVE TANGIBLY INCREASE DURING CURRENT PERIOD ECONOMIC CRISIS .,the vulnerability of these communities has tangibly increased during the current period of economic crisis .
FINANCIAL SUPPORT   OFFER  HOUSING IN BOTH URBAN  RURAL AREA .,financial support must be offered for housing in both urban and rural areas .
I MUCH APPRECIATE IT .,i much appreciate it .
"SECONDLY , TWO COMMENT ON SUBSTANCE DEBATE .","secondly , two comments on the substance of the debate ."
I HEAR SOME CONCERN ABOUT POTENTIAL SIDE EFFECT IN FORM ADDITIONAL IMMIGRATION .,i heard some concerns about the potential side effects in the form of additional immigration .
"FINALLY , LET I WELCOME  DEBATE WHICH SET OUT PARLIAMENT POSS COMMITMENT  INCLUSION MARGINALISE COMMUNITY .","finally , let me welcome this debate which sets out parliament's commitment to the inclusion of marginalised communities ."
IT  FURR STEP IN SUPPORT OPEN  INCLUSIVE EUROPE 20US THINK WE WILL COUNT ON NATIONAL  REGIONAL AUTHORITY  MAKE GOOD USE SE NEW FACILITY .,it is a further step in support of an open and inclusive europe 20i think we will count on the national and regional authorities to make good use of these new facilities .
"SOMETHING I WILL DOUBTLESS REMIND NEW COMMISSIONER ABOUT , AS WELL AS COUNCIL .","this is something I will doubtless remind the new commissioner about , as well as the council ."
"SECOND POINT   IT  , IN MANNER SPEAKING , VOLUNTARY FRAMEWORK .","a second point is that it is , in a manner of speaking , a voluntary framework ."
FRAMEWORK  NOW  OFFER  MEMBER STATE IN LEGISLATION .,this framework is now being offered to the member states in legislation .
RE  NO CERTAINTY  IT WILL SUBSEQUENTLY  GIVE PRIORITY .,there is no certainty that it will subsequently be given priority .
I  LIKE  THANK EVERYONE ONE MORE TIME  I HOPE  POSITIVE RESULT TOMORROW .,i would like to thank everyone one more time and I hope for a positive result tomorrow .
VOTE WILL TAKE PLACE ON THURSDAY  12 NOON .,the vote will take place on thursday at 12 noon .
WE CAN NOT LET EUROPEAN TAXPAYERSMONEY  SPEND ON DEAD END .,we cannot let european taxpayersmoney be spent on dead ends .
SIT  SUSPEND  20.10,the sitting was suspended at 20.10
RECENT EARTHQUAKE IN HAITUS MOTION  RESOLUTION TABLE SEE MINUTE,recent earthquake in haiti motions for resolutions tabled see minutes
SITUATION IN IRAN MOTION  RESOLUTION TABLE SEE MINUTE,situation in iran motions for resolutions tabled see minutes
SITUATION IN YEMAN MOTION  RESOLUTION TABLE SEE MINUTE,situation in yemen motions for resolutions tabled see minutes
TRAFFICKING IN HUMAN  MOTION  RESOLUTION TABLE SEE MINUTE,trafficking in human beings motions for resolutions tabled see minutes
OUTCOME COPENHAGEN SUMMIT ON CLIMATE CHANGE MOTION  RESOLUTION TABLE SEE MINUTE,outcome of the copenhagen summit on climate change motions for resolutions tabled see minutes
2009 PROGRESS REPORT ON CROATIUM,2009 progress report on croatia
2009 PROGRESS REPORT ON FORMER YUGOSLAV REPUBLIC MACEDONIUM,2009 progress report on the former yugoslav republic of macedonia
2009 PROGRESS REPORT ON TURKEY,2009 progress report on turkey
WE WILL ALSO HAVE  CLOSE PROVISIONALLY SOME CHAPTER  FINANCIAL IMPLICATION .,we will also have to close provisionally some chapters with financial implications .
"REFORE , GREAT DEAL WORK LIE AHEAD .","therefore , a great deal of work lies ahead ."
ALLOW I  REMIND YOU ABOUT CONCLUSION ON CROATIUM ADOPT  COUNCIL IN DECEMBER .,allow me to remind you about the conclusions on croatia adopted by the council in december .
YOU  ALREADY AWARE Y  I  LIKE  HIGHLIGHT NUMBER POINT .,you are already aware of them but I would like to highlight a number of points .
WE BELIEVE  WE  ACHIEVE NEW GOAL IN  AREA .,we believe that we could achieve new goals in that area .
AGREEMENT  SIGN ON 4 NOVEMBER IN STOCKHOLM  RATIFY  CROATIAN PARLIAMENT ON 20 NOVEMBER .,the agreement was signed on 4 november in stockholm and ratified by the croatian parliament on 20 november .
"AS I SAY , WE HAVE GREAT DEAL WORK AHEAD WE .","as I said , we have a great deal of work ahead of us ."
"IT  UNDOUBTEDLY PROSPECT , REAL PROSPECT ,  IT  NOT AUTOMATIC RIGHT .","it is undoubtedly a prospect , a real prospect , but it is not an automatic right ."
"EUROPEAN PARLIAMENT , AS YOU KNOW , HAVE TAKE NOTE SE COUNCIL CONCLUSION 8 DECEMBER 200ALL SE TOPIC  REFLECT IN VARIOUS SECTION PARLIAMENT POSS RESOLUTION .","the european parliament , as you know , has taken note of these council conclusions of 8 december 200all of these topics are reflected in various sections of parliament's resolution ."
WHAT EUROPEAN UNION BELIEVE  WILL CONTINUE  BELIEVE .,this is what the european union believes and will continue to believe .
NUMBER TECHNICALLY DIFFICULT NEGOTIATE CHAPTER AWAIT WE .,a number of technically difficult negotiating chapters await us .
"ITS LAST PART SESSION , PARLIAMENT DEBATE TURKEY  , IN PARTICULAR , COUNTRY POSS DEMOCRATISATION .","at its last part session , parliament debated turkey and , in particular , the country's democratisation ."
CLEARLY REFLECT IN BOTH PARLIAMENT POSS RESOLUTION  COUNCIL CONCLUSION 8 DECEMBER .,this is clearly reflected in both parliament's resolution and the council conclusions of 8 december .
I  ALSO LIKE  MENTION SOME  ASPECT COUNCIL CONCLUSION .,i would also like to mention some other aspects of the council conclusions .
I WILL NOW GIVE FLOOR  COMMISSIONER F?LE .,i will now give the floor to commissioner füle .
I  ALSO LIKE  CONGRATULATE HE BECAUSE IT  HE FIRST DAY IN OFFICE .,i would also like to congratulate him because it is his first day in office .
"THIRDLY , I  DELIGHTED  EUROPEAN PARLIAMENT EXPRESS ITS STRONG SUPPORT  ENLARGEMENT IN THREE REPORT .","thirdly , I am delighted that the european parliament expressed its strong support for enlargement in three reports ."
YOU REPORT THUS REINFORCE MESSAGE  SUPPORT WORK UNDERTAKE  COMMISSION .,your report thus reinforces the messages and supports the work undertaken by the commission .
BALL  CLEARLY IN CROATIUM POSS COURT .,the ball is clearly in croatia's court .
CROATIUM HAVE COME LONG WAY OVER RECENT YEAR  IMPORTANT CHALLENGE STILL REMAIN   TACKLE .,croatia has come a long way over recent years but important challenges still remain to be tackled .
WE  ENCOURAGE  RECENT DEVELOPMENT IN FIGHT CORRUPTION .,we are encouraged by recent developments in fighting corruption .
WE HOPE  INVESTIGATION INTO WRONGDOING LEAD  CONCRETE RESULT .,we hope that investigation into wrongdoing leads to concrete results .
I HOPE  WORK TASK FORCE WILL SOON PRODUCE CONCRETE RESULT .,i hope that the work of the task force will soon produce concrete results .
"AS REGARD FORMER YUGOSLAV REPUBLIC MACEDONIUM , 2009  GOOD YEAR AS REGARD ITS REFORM PROCESS .","as regards the former yugoslav republic of macedonia , 2009 was a good year as regards its reform process ."
"IT ACHIEVE VISA LIBERALISATION ,  COMMISSION  RECOMMEND START ACCESSION NEGOTIATION .","it achieved visa liberalisation , and the commission could recommend starting accession negotiations ."
NOW CHALLENGE  COUNTRY   MAINTAIN REFORM MOMENTUM .,now the challenge for the country is to maintain the reform momentum .
"WHILE COUNTRY MEET POLITICAL CRITERION , RE  STILL MUCH WORK   DO .","while the country met the political criteria , there is still much work to be done ."
ECONOMIC CRISIS HAVE NOT LEAVE COUNTRY UNTOUCH .,the economic crisis has not left the country untouched .
"UNFORTUNATELY , COUNTRY  ALREADY SUFFER ONE HIGHEST UNEMPLOYMENT RATE IN EUROPE .","unfortunately , the country was already suffering one of the highest unemployment rates in europe ."
"EQUALLY IMPORTANT , IT WILL ENHANCE EUROPEAN PERSPECTIVE  WIDER REGION .","equally important , it will enhance the european perspective for the wider region ."
IT  REFORE IN STRATEGIC INTEREST EUROPEAN UNION .,it is therefore in the strategic interest of the european union .
"WORK ON POLITICAL CRITERION REMAIN UTMOST IMPORTANCE , IN PARTICULAR , AS REGARD FUNDAMENTAL FREEDOM .","work on the political criteria remains of the utmost importance , in particular , as regards fundamental freedoms ."
NUMBER LANDMARK REFORM HAVE  CARRY OUT IN PAST YEAR .,a number of landmark reforms have been carried out in the past year .
SOME Y  NEXT  IMPOSSIBLE ONLY FEW YEAR AGO .,some of them were next to impossible only a few years ago .
LANDMARK ACHIEVEMENT IN CIVILIAN MILITARY RELATION .,this is a landmark achievement in civilian military relations .
WE WILL OBSERVE CLOSELY FOLLOW UP  CONCILIATION .,we will observe closely the follow up of this conciliation .
WE CONTINUE  SUPPORT DEMOCRATIC OPEN LAUNCH  GOVERNMENT .,we continue to support the democratic opening launched by the government .
SUCCESS  INITIATIVE REQUIRE PARTICIPATION  SUPPORT ALL POLITICAL PARTY  ALL SEGMENT SOCIETY .,the success of this initiative requires the participation and support of all political parties and all segments of society .
WE ALSO REGRET ARREST  TAKE PLACE IN SOUTH EAST  END DECEMBER .,we also regret the arrests that took place in the south east at the end of december .
WE CONDEMN TERRORIST ATTACK  TAKE PLACE  SAME TIME .,we condemn the terrorist attacks that took place at the same time .
NONE SE DEVELOPMENT   CONDUCIVE  SUCCESSFUL IMPLEMENTATION DEMOCRATIC OPEN .,none of these developments is really conducive to the successful implementation of the democratic opening .
"COURSE , IT  ALSO CROATIUM POSS RESPONSIBILITY , IN PARTICULAR ,  TAKE DECISIVE STEP .","of course , it is also croatia's responsibility , in particular , to take the decisive steps ."
CROATIUM HAVE SHOW  NO ONE  OUTSIDE LAW  EXEMPT FROM MEASURE  COMBAT CORRUPTION .,croatia has shown that no one is outside the law or exempt from measures to combat corruption .
SEND OUT IMPORTANT SIGNAL .,this sends out an important signal .
I HOPE  SAME THING WILL HAPPEN SOON IN SLOVENIA .,i hope that the same thing will happen soon in slovenia .
"HOWEVER , RE  STILL SOME WORK   DO .","however , there is still some work to be done ."
POINT HAVE ALREADY  MAKE  FIGHT AGAINST CORRUPTION  IMPORTANT ELEMENT .,the point has already been made that the fight against corruption is an important element .
"HOWEVER , SITUATION WILL NOT CHANGE OVERNIGHT .","however , the situation will not change overnight ."
MR BRAMMERTZ HAVE ASSURE COMMITTEE ON FOREIGN AFFAIR  GREAT DEAL   DO .,mr brammertz has assured the committee on foreign affairs that a great deal is being done .
IT MAY   SOME Y HAVE NEVER EXIST .,it may be that some of them have never existed .
"NEVERLESS , I HOPE  CROATIUM DO EVERYTHING IN ITS POWER IN  RESPECT .","nevertheless , I hope that croatia does everything in its power in this respect ."
"HOWEVER , I BELIEVE  GREAT DEAL PROGRESS HAVE  MAKE IN  AREA .","however , I believe that a great deal of progress has been made in this area ."
GREAT DEAL HAVE ALSO  ACHIEVE  REGARD  RETURN REFUGEE  INTERNALLY DISPLACE PERSON .,a great deal has also been achieved with regard to the return of refugees or internally displaced persons .
RE  STILL FEW PROBLEM  DETAILED LEVEL WHICH  RELATIVELY DIFFICULT  SOLVE .,there are still a few problems at a detailed level which are relatively difficult to solve .
IT  TRUE  GREAT DEAL PROGRESS HAVE  MAKE IN  AREA .,it is true that a great deal of progress has been made in this area .
"WHAT I , TOO , HAVE SAY IN MY DRAFT REPORT .","and that is what I , too , have said in my draft report ."
"SECONDLY , FYROM  FIRST COUNTRY IN REGION  COMPLY  ALL VISA LIBERALISATION REQUIREMENT .","secondly , fyrom was the first country in the region to comply with all the visa liberalisation requirements ."
IT HAVE ALSO COOPERATE SUCCESSFULLY  INTERNATIONAL CRIMINAL TRIBUNAL  FORMER YUGOSLAVIUM IN HAGUE .,it has also cooperated successfully with the international criminal tribunal for the former yugoslavia in the hague .
"LAST WEEK , FYROM PARLIAMENT PASS RESOLUTION ON SREBRENICA .","last week , the fyrom parliament passed a resolution on srebrenica ."
WHAT  WE TRY  ACHIEVE IN PARLIAMENT   RESOLUTION   MY REPORT ON FYROM POSS PROGRESS ?,what are we trying to achieve in parliament with this resolution and with my report on fyrom's progress ?
"ABOVE ALL , WE WANT  HELP .","above all , we want to help ."
WE WANT  HELP FYROM PROGRESS ALONG ROAD STABILITY TOWARDS EUROPEAN UNION .,we want to help fyrom progress along the road of stability towards the european union .
POSS WAR .  FYROM  ONLY FORMER YUGOSLAV REPUBLIC  SUCCESSFULLY AVOID MILO ?,we should remember that fyrom was the only former yugoslav republic that successfully avoided milošević's wars .
EMPIRICAL FACT  ONE WHICH CAN  PROVE .,that is an empirical fact and one which can be proven .
I STAND TOGER  GREECE .,i stand together with greece .
LET WE DO EVERYTHING WE CAN  REACH  GOAL .,let us do everything we can to reach this goal .
"LET WE SHOW SOLIDARITY  BOTH GREECE , WE FELLOW MEMBER STATE ,   FYROM .","let us show solidarity with both greece , our fellow member state , and with the fyrom ."
SOLIDARITY   MUTUAL .,solidarity must be mutual .
WE NEED  BEAR IN MIND  BALKAN  LIKE BICYCLE RIDE .,we need to bear in mind that the balkans is like a bicycle ride .
"IF WE STOP NOW , PEACE , STABILITY , SECURITY  SOCIAL COHESION  BREAK DOWN .","if we stopped now , peace , stability , security and social cohesion would break down ."
"WAY CONCLUSION , LET I STRESS ONE MORE FACT FYROM HAVE  CANDIDATE SINCE 200WE ALL NEED   AWARE CONSEQUENCE WE DECISION  FAILURE  TAKE DECISION .","by way of conclusion , let me stress one more fact fyrom has been a candidate since 200we all need to be aware of the consequences of our decisions or failure to take decisions ."
I BELIEVE  WE CAN ONLY DO  IF WE SEEK OUT BROAD MAJORITY TOGER .,i believe that we can only do that if we seek out a broad majority together .
I ACTUALLY HAVE THREE MESSAGE  TURKEY .,i actually have three messages for turkey .
"I WILL BEGIN  OPEN DEBATE , DEMOCRATIC OPEN .","i will begin with open debate , democratic opening ."
"MR PRESIDENT , I  REFORE CALL  ADDITIONAL ATTENTION   PAY  ENFORCEMENT .","mr president , I am therefore calling for additional attention to be paid to enforcement ."
I WILL TURN NOW  AMENDMENT .,i will turn now to the amendments .
"ON CYPRUS , I ATTEMPT  REACH CLEAR  BROAD BASE COMPROMISE  SHADOW RAPPORTEUR .","on cyprus , I attempted to reach a clear and broad based compromise with the shadow rapporteurs ."
TURKEY NEED  KNOW  SUPPLEMENTARY PROTOCOL  HAVE  AGREE   ACCEPT WITHOUT DELAY .,turkey needs to know that the supplementary protocol that has been agreed must be accepted without delay .
"PARAGRAPH , N , I  SPECIFICALLY ASK TURKEY  SEND OUT POSITIVE SIGNAL .","with this paragraph , then , I am specifically asking turkey to send out positive signals ."
"MR PRESIDENT , WE HAVE CLEAR EXPECTATION COUNCIL  COMMISSION .","mr president , we have clear expectations of the council and the commission ."
WE EXPECT NEGOTIATION  CROATIUM   COMPLETE  NEGOTIATION  MACEDONIUM   START  YEAR .,we expect negotiations with croatia to be completed and negotiations with macedonia to be started this year .
"HOWEVER , SAY  BALL  SOLELY IN CROATIUM POSS COURT  TOTALLY UNACCEPTABLE .","however , saying that the ball is solely in croatia's court is totally unacceptable ."
THREE NEGOTIATE CHAPTER REMAIN   OPEN  COUNCIL .,three negotiating chapters remain to be opened by the council .
"WILL ALLOW CROATIUM , IF IT  TREAT FAIRLY ,  COMPLETE NEGOTIATION  YEAR .","this will allow croatia , if it is treated fairly , to complete the negotiations this year ."
I BELIEVE   WILL ALSO  CASE TODAY .,i believe that this will also be the case today .
"CROATIUM  Y HOMELAND , TOO .","croatia is their homeland , too ."
", HOWEVER , DEPEND PRIMARILY ON Y .","that , however , depends primarily on them ."
"LET I CONCLUDE  WISH MR F?LE , WE NEW COMMISSIONER , EVERY SUCCESS .","let me conclude by wishing mr füle , our new commissioner , every success ."
I KNOW HE WILL DO EXCELLENT JOB .,i know he will do an excellent job .
WE  HAPPY  WORK  YOU  LOOK FORWARD  WE FUTURE COOPERATION .,we are happy to work with you and look forward to our future cooperation .
I  ALSO LIKE  THANK MR SWOBODA  GOOD COOPERATION ON CROATIUM REPORT .,i would also like to thank mr swoboda for the good cooperation on the croatia report .
I THINK RE  GOOD COOPERATION IN PROCESS  I THANK MY COLLEAGUE .,i think there was good cooperation in the process and I thank my colleagues .
CROATIUM POSS QUICK ACCESSION WILL SEND OUT IMPORTANT SIGNAL ON SECURITY POLICY  ENTIRE WESTERN BALKAN .,croatia's quick accession will send out an important signal on security policy to the entire western balkans .
WE IN VERT ALE GROUP  LIKE  SEE BETTER RESULT IN  AREA .,we in the verts / ale group would like to see better results in this area .
WE  LIKE  SEE MORE TRANSPARENCY  LESS POLITICAL INFLUENCE IN  AREA AS WELL .,we would like to see more transparency and less political influence in this area as well .
FIRST CONCERN FIGHT AGAINST CORRUPTION .,the first concerns the fight against corruption .
RE HAVE  REPEAT ATTACK ON PEOPLE FROM SE MINORITY GROUP .,there have been repeated attacks on people from these minority groups .
WE HAVE NOW RECEIVE ASSURANCE FROM CROATIAN GOVERNMENT  SOME SE CASE   INVESTIGATE .,we have now received assurances from the croatian government that some of these cases are being investigated .
MY FINAL POINT   WE HAVE NO VISION  NEW ENERGY POLICY  CROATIUM .,my final point is that we have no vision for a new energy policy for croatia .
"REFORE , WE  LIKE  CALL ON YOU  SUPPORT WE AMENDMENT WE  LOOK FORWARD  CROATIUM JOIN EUROPEAN UNION SOON .","therefore , we would like to call on you to support our amendment we are looking forward to croatia joining the european union soon ."
"HOWEVER , CANDIDATE   SUBJECT  RIGOROUS  EXACT STANDARD AS LAY OUT IN COPENHAGEN CRITERION .","however , candidates must be subject to rigorous and exacting standards as laid out in the copenhagen criteria ."
"MEANWHILE , TURKEY POSS EU MEMBERSHIP APPLICATION REMAIN PROBLEMATIC , NOT LEAST IN FIELD HUMAN RIGHTS .","meanwhile , turkey's eu membership application remains problematic , not least in the field of human rights ."
WE WISH  EMPHASISE FROM OUTSET  WE  IN FAVOR INTEGRATION TURKEY .,we wish to emphasise from the outset that we are in favour of the integration of turkey .
WE MEAN   WE BELIEVE IN IT .,we mean this and we believe in it .
"AS SUCH , WE DECLARE  WE DISAGREE  POSITION  RELEVANT ENERGY CHAPTER   OPEN .","as such , we declare that we disagree with the position that the relevant energy chapter should be opened ."
I  SURE  EVERYONE WILL HELP .,i am sure that everyone will help .
"HOWEVER ,   NOT UNACCEPTABLY MAKE EVERYONE EQUALLY RESPONSIBLE , MAKE VICTIM  OCCUPIER EQUALLY RESPONSIBLE ?","however , is this not unacceptably making everyone equally responsible , making the victim and the occupier equally responsible ?"
"IF WE WANT SOLUTION  CYPRUS QUESTION , WE  UNDERLINE TURKEY POSS RESPONSIBILITY .","if we want a solution to the cyprus question , we must underline turkey's responsibilities ."
"WE  SPEAK OPENLY  TURKEY , WHOSE INTEGRATION , I REPEAT IN CLOSING , WE SUPPORT .","we must speak openly to turkey , whose integration , I repeat in closing , we support ."
EFFECTIVE GOVERNMENT MEASURE AGAINST GROW ANTI SEMITISM IN PUBLIC LIFE IN TURKEY .,effective government measures against growing anti semitism in public life in turkey .
TURKISH ACADEMIC RECENTLY SPEAK POISON ATMOSPHERE .,a turkish academic recently spoke of a poisoned atmosphere .
TURKEY  SPELL OUT WHERE IT STAND ON INCREASINGLY URGENT ISSUE TEHRAN POSS NUCLEAR PROGRAM .,turkey must spell out where it stands on the increasingly urgent issue of tehran's nuclear programme .
"AS NATO MEMBER  EU CANDIDATE COUNTRY , TURKEY  NAIL ITS COLOR  MAST .","as a nato member and eu candidate country , turkey must nail its colours to the mast ."
IT  MAKE CLEAR CHOICE .,it must make a clear choice .
"NL MR F?LE , WELCOME  HOUSE !","nl mr füle , welcome to the house !"
WE DO NOT IMPOSE ANY SANCTION  NEXT  NO SANCTION ON TURKEY .,we do not impose any sanctions or next to no sanctions on turkey .
I REFORE HOPE  YOU WILL ALL SUPPORT  AMENDMENT .,i therefore hope that you will all support this amendment .
"WHAT  MORE , FREEDOM PRESS IN TURKEY  UNDER SEVERE PRESSURE .","what is more , the freedom of the press in turkey is under severe pressure ."
"WHEN I  VISIT TURKEY , PRESS  EVEN MOVE ON .","when I was visiting turkey , the press was even moved on ."
"WE  STRONGLY CONDEMN     WHY I HAVE TABLE AMENDMENT NOW , LADY  GENTLEMAN , WE COME  IRAN , ROGUE STATE .","we must strongly condemn this and that is why I have tabled amendment now , ladies and gentlemen , we come to iran , a rogue state ."
"LADY  GENTLEMAN , WE CAN  EXPRESS WE DISGUST ABOUT  .","ladies and gentlemen , we can but express our disgust about this ."
"NEXT , I WANT  MENTION NEGOTIATION  TURKEY .","next , I want to mention the negotiations with turkey ."
"THUS , I HOPE  YOU WILL ALL SUPPORT MY AMENDMENT .","thus , I hope that you will all support my amendments ."
EUROPEAN PEOPLE POSS PARTY CONSIDER  FYROM GO THROUGH MANY POSITIVE DEVELOPMENT DURING LAST YEAR .,the european people's party considers that fyrom went through many positive developments during the last year .
"OBVIOUSLY , WE POLITICAL GROUP  HAVE PLACE GREATER EMPHASIS ON CERTAIN ASPECT .","obviously , our political group would have placed greater emphasis on certain aspects ."
WE NEED  SEND OUT CLEAR MESSAGE ON  POINT .,we need to send out a clear message on that point .
"COURSE , TURKEY  ALSO TAKE DECISIVE STEP ON PATH TOWARDS REFORM .","of course , turkey must also take decisive steps on the path towards reform ."
SKOPJE HAVE CARRY OUT REFORM   ON WAY  JOIN EUROPEAN UNION .,skopje has carried out reforms and is on the way to joining the european union .
WE WELCOME   MUCH    PLEASED ABOUT IT .,we welcome this very much and are very pleased about it .
VISA LIBERALISATION  PERHAPS CLEAREST  MOST VISIBLE SIGN .,the visa liberalisation was perhaps the clearest and most visible sign .
IT  MILESTONE IN WE COOPERATION .,it was a milestone in our cooperation .
OBJECTIVE HAVE ONLY  ACHIEVE AS RESULT CLOSE COLLABORATION  EU MEMBER STATE .,this objective has only been achieved as a result of close collaboration with the eu member states .
"IT REPRESENT OPENNESS , INTERACTION  COOPERATION .","it represents openness , interaction and cooperation ."
MOMENTUM  DIMINISH DAY  DAY .,this momentum is diminishing day by day .
"IN MONTENEGRO ,  EXAMPLE , EXISTENCE HOMOSEXUALITY  FINALLY  RECOGNIZE .","in montenegro , for example , the existence of homosexuality is finally being recognised ."
WE ALSO ALL AGREE  EU  PROVIDE ALL POSSIBLE SUPPORT IN  PROCESS .,we also all agree that the eu must provide all possible support in this process .
"BILATERAL PROBLEM , IN MSELVES ,  NOT REPRESENT OBSTACLE  ACCESSION PROCESS .","bilateral problems , in themselves , should not represent an obstacle to the accession process ."
I  SURE  YOU WILL ALSO BEGIN PROCESS NEGOTIATION  MACEDONIUM SOON .,i am sure that you will also begin the process of negotiation with macedonia soon .
I HOPE  WILL ALSO   YEAR .,i hope this will also be this year .
"WE VALUE FACT  CROATIAN UNIT , AS PART NATO ,  PRESENT IN KOSOVO  AFGHANISTAN .","we value the fact that croatian units , as part of nato , are present in kosovo and afghanistan ."
WE NEW ALLY HAVE BRAVELY SUPPORT WE FIGHT AGAINST TERRORISM IN SEVERAL NATO MISSION .,our new ally has bravely supported our fight against terrorism in several nato missions .
"GOOD OBJECTIVE ,  I CALL UPON EVERYONE  SUPPORT SE EFFORT .","this is a good objective , and I call upon everyone to support these efforts ."
"LET WE REMEMBER  , TOO , WHEN WE LOOK  WE EASTERN NEIGHBOR , UKRAINE .","let us remember this , too , when we look at our eastern neighbour , ukraine ."
WHERE  TURKEY HEAD ?,where is turkey heading ?
IT HEAD TOWARDS MULTICULTURAL EUROPE  TOWARDS PAN ISLAMIC STATE ?,is it heading towards a multicultural europe or towards a pan islamic state ?
"ISSUE ABOLITION VISA , IN PARTICULAR , HAVE OUTRAGE SECULAR STATE IN TURKEY .","the issue of the abolition of visas , in particular , has outraged the secular state in turkey ."
CHRISTIAN WRITER  ACADEMIC  HAVE  GO INTO HIDE .,christian writers and academics are having to go into hiding .
I HAVE NOT EVEN GET ON  PHENOMENON SUCH AS FORCE MARRIAGE   CALL HONOR KILL .,i have not even got on to phenomena such as forced marriages and so called honour killings .
WHAT DEADLINE WILL COMMISSION ISSUE TURKEY   RECOGNIZE ALL MEMBER STATE EUROPEAN UNION ?,what deadline will the commission issue turkey with to recognise all the member states of the european union ?
WHEN WILL TURKEY HAVE  COMPLY  ANKARA PROTOCOL ?,when will turkey have to comply with the ankara protocol ?
WHEN WILL ILLEGAL MILITARY OCCUPATION CYPRUS  BRING  END ?,when will the illegal military occupation of cyprus be brought to an end ?
"CONTEXT , COMMISSIONER , MEAN  TURKISH CASE NEED   HANDLE  GREAT CAUTION .","this context , commissioner , means that the turkish case needs to be handled with great caution ."
WE NEED  USE UTMOST CAUTION IN NEGOTIATE PROCESS IN ORDER NOT  MAKE ANY MISTAKE .,we need to use the utmost caution in the negotiating process in order not to make any mistakes .
"MR PRESIDENT , FIRST ,  I REPEAT IN PUBLIC MY OWN CONGRATULATION  COMMISSIONER F?LE .","mr president , first , could I repeat in public my own congratulations to commissioner füle ."
"ON TURKEY , SOCIALIST  DEMOCRAT GROUP REMAIN PRO ACCESSION , PRO REFORM .","on turkey , the socialist and democrat group remains pro accession , pro reform ."
COMMISSION POSS PROGRESS REPORT SAY  REFORM EFFORT HAVE  RESUME    INTENSIFY .,the commission's progress report says that reform efforts have been resumed but should be intensified .
WE CYPRIOT COLLEAGUE WE UNDERSTAND PAIN INJUSTICE YOU FEEL .,to our cypriot colleagues we understand the pain of injustice you feel .
"IN  HOUSE , CONSTRUCTIVE CRITICISM TURKEY  NEED WE OURSELVES  CRITICAL FRIEND .","to others in this house , constructive criticism of turkey is needed we ourselves are critical friends ."
"SE ARGUMENT  LOATHSOME  REPELLENT ,    YOU .","these arguments are loathsome and repellent , and so are you ."
SHRILL VOICE REJECTIONIST  NOT  ALLOW  DROWN WE OUT .,the shrill voice of the rejectionist must not be allowed to drown us out .
I  LIKE  EMPHASISE TWO THING .,i would like to emphasise two things .
I THINK  SUPPORT FROM POPULATION  CONDITION  SUCCESS IN NEGOTIATION PROCESS .,i think that support from the population is a condition for success in the negotiation process .
"FR MR PRESIDENT , FIRSTLY , I  LIKE  WELCOME  CONGRATULATE COMMISSIONER F?LE .","fr mr president , firstly , I should like to welcome and congratulate commissioner füle ."
12TH HEARING TRIAL ALLEGE ASSASSIN HRANT DINK  HOLD IN ISTANBUL ON MONDAY .,the 12th hearing of the trial of the alleged assassins of hrant dink was held in istanbul on monday .
TERRIFYING  IT  CRIME .,this is terrifying and it is a crime .
MEMBER  FAMILY WILL OBVIOUSLY HAVE   PUT IN PRISON .,the members of that family will obviously have to be put in prison .
